attributes.Ambience.divey,attributes.RestaurantsDelivery,attributes.DogsAllowed,postal_code,hours.Thursday,attributes.BestNights.sunday,attributes.BYOB,attributes.AgesAllowed,attributes.Music.video,hours.Friday,latitude,attributes.Alcohol,attributes.Ambience.classy,attributes.RestaurantsTableService,business_id,attributes.Ambience.touristy,attributes.RestaurantsCounterService,attributes.Corkage,attributes.RestaurantsGoodForGroups,categories,name,attributes.BusinessAcceptsBitcoin,attributes.HappyHour,attributes.WheelchairAccessible,attributes.Ambience.hipster,attributes.BusinessAcceptsCreditCards,is_open,attributes.DietaryRestrictions.vegetarian,attributes.Music.live,attributes.Music.background_music,neighborhood,attributes.BusinessParking.lot,attributes.Music.karaoke,review_count,attributes.GoodForMeal.breakfast,attributes.NoiseLevel,state,attributes.DriveThru,attributes.HasTV,attributes.GoodForMeal.dinner,attributes.BusinessParking.street,address,attributes.RestaurantsAttire,hours.Sunday,attributes.BestNights.tuesday,attributes.AcceptsInsurance,attributes.BestNights.wednesday,hours.Wednesday,attributes.Open24Hours,attributes.Ambience.trendy,attributes.CoatCheck,hours.Monday,city,attributes.Music.no_music,hours.Tuesday,stars,attributes.RestaurantsPriceRange2,attributes.Ambience.intimate,attributes.GoodForMeal.latenight,attributes.GoodForMeal.dessert,attributes.BusinessParking.validated,attributes.GoodForMeal.lunch,attributes.GoodForKids,attributes.DietaryRestrictions.soy-free,attributes.GoodForMeal.brunch,attributes.BusinessParking.valet,longitude,attributes.DietaryRestrictions.gluten-free,attributes.BYOBCorkage,attributes.BusinessParking.garage,attributes.BestNights.friday,hours.Saturday,attributes.Music.dj,attributes.BestNights.saturday,attributes.Ambience.casual,attributes.BestNights.thursday,attributes.BestNights.monday,attributes.DietaryRestrictions.kosher,attributes.WiFi,attributes.Smoking,attributes.DietaryRestrictions.halal,attributes.GoodForDancing,attributes.ByAppointmentOnly,attributes.Caters,attributes.RestaurantsReservations,attributes.DietaryRestrictions.dairy-free,attributes.DietaryRestrictions.vegan,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale,attributes.RestaurantsTakeOut,attributes.BikeParking,attributes.OutdoorSeating
,,,61820,,,,,,,40.0940675,,,,56,,,,True,"[u'Restaurants', u'Mexican']",Fiesta Ranchera,,,,,,0,,,,,,,4,False,quiet,IL,,,False,,1805 S Neil St,,,,,,,,,,,Champaign,,,2.0,,,False,False,,False,,,False,,-88.2457853,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,61820,,,,,,,40.112407,,,,57,,,,,"[u'Property Management', u'Real Estate', u'Apartments', u'Home Services']",Professional Property Management,,,,,False,1,,,,,,,10,,,IL,,,,,401 E Springfield Ave,,,,,,,,,,,Champaign,,,1.5,,,,,,,,,,,-88.233285,,,,,,,,,,,,,,,,False,,,,,,,,,,
False,False,,61820,,,,,,,40.1375686,none,False,,259,False,,,True,"[u'Fast Food', u'Restaurants', u'Burgers']",McDonald's,,,,False,True,1,,,,,False,,10,False,,IL,True,True,False,False,1812 N Neil St,casual,,,,,,,False,,,Champaign,,,1.5,1.0,False,False,False,False,False,True,,False,False,-88.2430516,,,False,,,,,False,,,,,,,,,False,False,,,False,,False,False,,
,,False,61820,13:00-21:00,,,,,13:00-21:00,40.116023999999996,,,,260,,,,,"[u'Video Game Stores', u'Videos & Video Game Rental', u'Electronics', u'Shopping', u'Toy Stores', u'Books', u'Mags', u'Music & Video', u'Local Services', u'IT Services & Computer Repair']",Live Action Games,False,,True,,True,1,,,,,True,,7,,,IL,,,,True,41 E University,,12:00-20:00,,,,13:00-21:00,,,,13:00-21:00,Champaign,,13:00-21:00,3.5,1.0,,,,False,,,,,False,-88.24218499999999,,,False,,12:00-21:00,,,,,,,,,,,,,,,,,,,,False,
,False,,61820,,,False,,,,40.110554,none,,False,437,,,False,True,"[u'Restaurants', u'Thai']",Basil Thai Cafe,,,True,,True,0,,,,,False,,13,False,,IL,,,False,True,"410 E Green St, Ste 1",casual,,,,,,,,,,Champaign,,,2.5,1.0,,False,False,False,True,True,,False,False,-88.232373,,yes_free,False,,,,,,,,,,,,,,,False,,,,,,True,,False
,,,61821,11:00-22:00,,,,,11:00-23:00,40.0975125219,,,,562,,,,,"[u'Ice Cream & Frozen Yogurt', u'Food', u'Do-It-Yourself Food', u'Desserts']",TCBY,,,True,,True,1,,,,,True,,13,,,IL,,,,False,1731 W Kirby Ave,,11:00-22:00,,,,11:00-22:00,,,,11:00-22:00,Champaign,,11:00-22:00,3.5,1.0,,,,False,,,,,False,-88.27513575549999,,,False,,11:00-23:00,,,,,,,free,,,,,True,,,,,,,True,True,
,,,61822,,,,,,,40.0759243,,,,730,,,,,"[u'Active Life', u'Golf']",Legends Golf Course,,,,,,1,,,,,,,4,,,IL,,,,,4551 Nicklaus Dr,,,,,,,,,,,Champaign,,,2.5,,,,,,,True,,,,-88.3229965,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,61821,10:00-18:00,,,,,10:00-17:00,40.1115366,,,,816,,,,,"[u'Shopping', u'Lingerie', u'Fashion']",Confidentially Yours,,,,,True,1,,,,,False,,4,,,IL,,,,False,"1808 Round Barn Rd, Ste B",,,,,,10:00-18:00,,,,10:00-18:00,Champaign,,10:00-18:00,3.0,2.0,,,,False,,,,,False,-88.277709,,,False,,10:00-17:00,,,,,,,,,,,,,,,,,,,,True,
False,,,61820,,False,,,False,,40.1096989,full_bar,False,,1128,False,,,True,"[u'Bars', u'Nightlife']",Clybourne,,,True,False,True,1,,False,False,,False,False,27,,very_loud,IL,,True,,True,708 S 6th St,,,False,,False,,,False,True,,Champaign,False,,3.0,2.0,False,,,False,,,,,False,-88.2303608,,,False,True,,True,True,False,True,False,,,outdoor,,True,,,,,,False,False,False,,,False
False,False,,61820,,,,,,,40.103246,full_bar,False,True,1625,False,,,True,"[u'Italian', u'Restaurants']",Buttitta's,,,True,False,True,0,,,,,True,,16,False,quiet,IL,,False,False,False,1201 S Neil St,casual,,,,,,,False,,,Champaign,,,3.0,2.0,False,False,False,False,False,False,,False,False,-88.244236,,,False,,,,,False,,,,,,,,,,True,,,False,,False,True,,True
